id,language,series,book,description,sheet,sheet_title,,,,,,,,,,,,,,,,,,,,
1,english,Understanding the Quran,85 % Quranic Words,This is list of most occuring words in Quran. Quran has about 77430 words and words in this list appear about 65000 times ,quran_words,Quranic Words,,,,,,,,,,,,,,,,,,,,
1,urdu,قرآن فہمی,قرآن مجید کے %85 الفاظ,یہ قرآن مجید میں سب سے زیادہ پائے جانے والے الفاظ کی فہرست ہے۔ قرآن مجید میں تقریباً 77430 الفاظ ہیں اور اس فہرست کے الفاظ تقریباً 65000 مرتبہ آئے ہیں۔,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter Titles,,,,,,,,,,,,,,,,,,,,,,,,,,
book_id,id,english,urdu,,,,,,,,,,,,,,,,,,,,,,,
1,1,Demonstrative Pronouns,اسمائے اشارہ,,,,,,,,,,,,,,,,,,,,,,,
1,2,Negative/ Exceptions,حروفِ نافیہ، حروفِ استثناء,,,,,,,,,,,,,,,,,,,,,,,
1,3,Whose?,کس کا، کس کی، کس کے,,,,,,,,,,,,,,,,,,,,,,,
1,4,Who?,کون؟,,,,,,,,,,,,,,,,,,,,,,,
1,5,Where?,کہاں؟,,,,,,,,,,,,,,,,,,,,,,,
1,6,Questions?,سوالات؟,,,,,,,,,,,,,,,,,,,,,,,
1,7,Miscellaneous,متفرقات,,,,,,,,,,,,,,,,,,,,,,,
1,8,When?,کب؟ ...,,,,,,,,,,,,,,,,,,,,,,,
1,9,Prepositions I,حروفِ جر + ما، ...,,,,,,,,,,,,,,,,,,,,,,,
1,10,Prepositions II,حروفِ جر,,,,,,,,,,,,,,,,,,,,,,,
1,11,Prefix for Verb,فعل سے پہلے، ...,,,,,,,,,,,,,,,,,,,,,,,
1,12,Inna..,بےشک,,,,,,,,,,,,,,,,,,,,,,,
1,13,Attributes of Allah I,کچھ صفات (اللہ کی اور دوسروں کی),,,,,,,,,,,,,,,,,,,,,,,
1,14,Attributes of Allah II,کچھ صفات (اللہ کی اور دوسروں کی),,,,,,,,,,,,,,,,,,,,,,,
1,15,Noun of superiority,اسم تفضیل,,,,,,,,,,,,,,,,,,,,,,,
1,16,Some Attributes,کچھ صفات,,,,,,,,,,,,,,,,,,,,,,,
1,17,Prophets,انبیاء (رسول),,,,,,,,,,,,,,,,,,,,,,,
1,18,Allah's signs,اللہ کی نشانیاں,,,,,,,,,,,,,,,,,,,,,,,
1,19,Last Day,آخرت,,,,,,,,,,,,,,,,,,,,,,,
1,20,Deen,دین,,,,,,,,,,,,,,,,,,,,,,,
1,21,Faith,عقیدہ,,,,,,,,,,,,,,,,,,,,,,,
1,22,Deeds,اعمال,,,,,,,,,,,,,,,,,,,,,,,
1,23,Blessings,نعمتیں,,,,,,,,,,,,,,,,,,,,,,,
1,24,Relatives,رشتہ دار,,,,,,,,,,,,,,,,,,,,,,,
1,25,Self (Body Parts),خود (جسم کے حصے),,,,,,,,,,,,,,,,,,,,,,,
1,26,World,دنیا,,,,,,,,,,,,,,,,,,,,,,,
1,27,People,لوگ,,,,,,,,,,,,,,,,,,,,,,,
1,28,Miscellaneous 2,متفرقات 2,,,,,,,,,,,,,,,,,,,,,,,
1,29,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,30,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,31,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,32,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,33,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,34,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,35,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,36,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,37,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,38,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,39,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,40,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,41,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,42,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,43,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,44,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,45,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,46,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,47,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,48,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,49,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,50,Verbs,افعال,,,,,,,,,,,,,,,,,,,,,,,
1,51,Prepositions coming with verbs,حروفِ جر جو فعل کے ساتھ آئیں,,,,,,,,,,,,,,,,,,,,,,,
